NO74	3990	5968
NO76	6042	6993
NO23	1055	2760
NO06	4029	6526
NO54	7719	1884
NO29	6535	2876
NO60	7617	4370
NO87	3079	3574
NO38	3325	5509
NO07	2921	6614
NO68	6964	4821
NO20	8537	2724
NO80	3437	5330
NO45	6236	7215
NO47	7742	3539
NO19	5423	7383
NO81	3886	1532
NO28	2212	6970
NO83	2612	4090
NO28	2943	6709
NO09	5531	3686
NO61	5860	5519
NO77	7639	1735
NO81	4728	9097
NO76	2571	5041
NO14	4769	4438
NO07	8404	9293
NO63	3488	4548
NO08	0599	3381
NO54	6540	1032
NO74	7664	8509
NO18	5797	0411
NO74	0271	2483
NO25	7189	5724
NO50	6902	0633
NO48	4403	7410
NO12	9522	3615
NO24	0339	9922
NO30	7029	8250
NO09	5244	5323
NO80	6688	3395
NO94	5817	2392
NO19	9922	6200
NO84	2428	5143
NO99	5174	4263
NO49	8970	3663
NO44	4526	8944
NO10	8996	8959
NO14	2157	9652
NO48	9398	9361
NO08	8860	6888
NO96	6534	7526
NO43	1976	9359
NO73	6374	5145
NO77	0091	9830
NO84	0759	0021
NO80	1232	0842
NO55	1385	2231
NO04	7428	6519
NO51	8907	4299
NO80	1286	1069
NO01	9289	8999
NO03	8808	1140
NO26	8433	8473
NO91	6732	8363
NO75	7392	3621
NO86	2143	0663
NO91	3415	6527
NO83	9592	8281
NO71	6877	4647
NO83	3512	6996
NO80	9312	8558
NO02	9614	2738
NO60	3068	5311
NO10	9986	0539
NO80	1513	6674
NO35	4897	0813
NO55	3306	5620
NO52	3260	4402
NO70	0418	6818
NO81	1151	2407
NO30	6094	0324
NO56	0550	8968
NO30	4290	6286
NO03	1102	3604
NO55	0363	4624
NO41	4268	1549
NO17	7227	3949
NO66	1183	0521
NO61	1178	5643
NO60	8355	5286
NO65	2756	0297
NO46	3477	3965
NO38	6782	8617
NO64	1866	2453
NO24	5166	0961
NO43	2585	3285
NO77	3752	9145
NO69	7832	1566
NO11	3397	5138
NO32	9590	6614
NO35	2625	8215
NO03	5077	3452
NO51	7007	5033
NO66	3012	4876
NO17	9054	3272
NO25	4463	9354
NO64	7307	5729
NO90	3979	0993
NO49	9030	4714
NO69	8035	6326
NO53	4280	0205
NO26	7775	3361
NO67	2712	7871
NO51	4333	9272
NO31	9470	7866
NO27	1674	6403
NO82	1201	5359
NO55	4948	1033
NO06	1633	9627
NO95	1362	5594
NO48	3553	0032
NO34	8862	9447
NO10	1673	4233
NO42	0353	6656
NO87	6805	4090
NO37	4005	1918
NO91	8055	5118
NO59	3939	9115
NO43	5288	5763
NO72	5739	7849
NO29	5161	2678
NO05	4615	8753
NO26	8875	2636
NO38	9225	3022
NO76	9734	1354
NO96	3693	7438
NO70	7292	7838
NO81	2807	3168
NO48	0893	9297
NO30	2416	6127
NO85	0059	9581
NO37	2223	8983
NO95	5872	2988
NO72	7081	6687
NO86	5057	5808
NO26	3276	1922
NO04	3766	2181
NO18	0856	5589
NO08	5026	5634
NO26	3650	6533
NO13	9300	7885
NO70	8327	2152
NO89	6777	3648
NO87	6545	0646
NO77	8709	1832
NO37	5749	9043
NO42	8555	3078
NO62	7906	9946
NO64	7560	4686
NO06	5700	8826
NO54	5756	3392
NO69	9606	1589
NO47	5168	1511
NO36	6408	9254
NO97	7734	7299
NO04	0015	5783
NO16	9857	9227
NO70	1269	3141
NO98	1345	6447
NO53	2276	0427
NO44	7805	6957
NO59	9916	5762
NO88	4741	5273
NO39	1021	3633
NO33	0966	7915
NO80	4377	7947
NO15	4643	2529
NO84	6320	5284
NO95	6709	9612
NO64	1715	6745
NO91	6347	4757
NO34	3119	2910
NO14	1665	3853
NO14	1353	4657
NO88	3230	7783
NO82	6952	4991
NO73	5587	8992
NO06	8110	5361
NO73	7484	8634
NO27	6720	5061
NO83	0686	7451
NO34	6810	9983
NO45	5952	4508
NO72	9923	8783
NO99	9892	5810
NO25	7813	1746
NO07	0048	9865
NO41	1955	3026
NO94	5323	9481
NO70	7640	2235
NO26	4554	5844
NO90	4515	4773
NO64	8486	0050
NO11	1978	0806
NO11	6208	8747
NO58	3465	9968
NO63	3287	1878
NO74	6491	0178
NO43	5020	0062
NO26	7653	8456
NO26	5017	5178
NO41	7305	8857
NO53	3015	7956
NO43	8809	4814
NO66	7940	2728
NO14	6389	4224
NO27	2685	4402
NO24	2431	5422
NO72	1265	8528
NO25	4872	5223
NO53	8595	0208
NO29	4168	7052
NO51	5909	5474
NO85	8304	2612
NO24	5953	6195
NO40	8111	8704
NO84	6514	0978
NO62	7497	2097
NO02	3667	8889
NO81	7122	2507
NO08	1777	2481
NO78	2786	0302
NO45	4993	1292
NO80	2289	0635
NO49	5907	5930
NO56	1590	1800
NO16	4855	5214
NO92	6941	0177
NO09	4206	6712
NO62	5516	0993
NO13	2520	8949
NO32	4568	5274
NO36	8285	2347
NO54	2451	9601
NO68	9444	8571
NO61	3612	9555
NO33	3352	3978
NO75	4453	3233
NO21	3553	6861
NO20	4817	7950
NO78	2266	7297
NO78	3439	4416
NO74	6238	8006
NO42	3416	4538
NO73	8600	7360
NO20	9170	0838
NO60	7914	6864
NO82	2342	2567
NO86	0935	2740
NO01	6882	8398
NO29	5404	9871
NO84	4759	9887
NO71	0718	5005
NO67	6672	9688
NO71	9252	9697
NO94	7128	4601
NO38	6754	2660
NO45	4030	9300
NO68	3704	3406
NO20	7655	9903
NO10	7432	4655
NO47	6038	1330
NO62	2066	7952
NO17	3347	6696
NO66	0157	3708
NO94	2128	7342
NO53	6492	4391
NO57	2147	8888
NO63	5225	2735
NO41	0775	7264
NO15	1910	5540
NO51	5420	6172
NO73	7562	6769
NO38	7998	1369
NO20	1399	9111
NO11	0027	8523
NO73	1348	7791
NO27	5852	1602
NO85	4087	9856
NO74	8292	8702
NO54	5629	8531
NO38	0025	3238
NO11	9686	8567
NO22	1278	6297
NO62	8927	6362
NO52	7453	5479
NO65	5087	6752
NO64	0789	4154
NO71	7310	9850
NO23	6588	9269
NO95	9405	5223
NO65	2515	3590
NO11	5921	4742
NO46	4983	3347
NO97	1061	9483
NO58	9986	9740
NO26	3013	8568
NO93	5642	7211
NO72	6076	6818
NO97	1146	4138
NO19	7652	5043
NO55	8373	0522
NO11	7672	5490
NO80	4250	6132
NO99	8876	2220
NO20	0226	8782
NO47	0091	4383
NO68	0974	6715
NO06	0180	5340
NO98	2507	8082
NO53	9173	5358
NO94	6949	7987
NO98	6722	2203
NO15	2077	7252
NO58	4543	4893
NO91	9092	0085
NO86	5567	7187
NO64	4036	6870
NO18	0060	6116
NO08	7620	9371
NO36	3603	2648
NO00	3036	7192
NO73	6258	8885
NO93	1564	7667
NO12	3780	0216
NO63	4122	1966
NO02	7392	3635
NO06	5427	0227
NO37	0833	9308
NO72	1997	3093
NO89	8672	4314
NO26	8446	7412
NO10	1045	6770
NO55	5085	2233
NO33	4084	7236
NO52	1017	8514
NO78	0942	7933
NO36	7590	0922
NO23	9237	2410
NO94	5980	1127
NO29	1221	9555
NO00	1001	1972
NO42	5055	3671
NO65	2757	4848
NO20	9952	9273
NO86	7976	0373
NO92	4289	0445
NO19	7733	7519
NO63	7035	3014
NO34	3059	3072
NO63	2841	3547
NO91	9793	8456
NO93	4493	1754
NO70	9372	4232
NO09	2101	8356
NO67	0078	5409
NO76	7693	3362
NO46	5883	8961
NO98	2796	6036
NO49	1841	3961
NO04	7597	2771
NO98	8375	9096
NO60	2836	8410
NO04	9962	4386
NO27	3111	2600
NO99	2330	2074
NO47	7877	6885
NO63	8195	5649
NO64	9883	0224
NO95	8375	7033
NO08	2707	6117
NO27	7618	5498
NO01	9602	7951
NO07	7332	7746
NO56	0817	2327
NO37	2591	3105
NO42	5860	6297
NO30	3366	4484
NO47	4137	7684
NO94	8268	4964
NO64	9486	2414
NO91	2101	0979
NO55	3185	6718
NO51	1688	8941
NO43	1847	1293
NO92	2662	7650
NO13	0848	7088
NO07	3910	7756
NO92	5098	7569
NO95	1014	8118
NO72	1303	4314
NO64	5320	1706
NO22	5493	6762
NO79	9778	0575
NO97	3155	9662
NO19	2442	1424
NO24	7542	6928
NO44	0024	1033
NO24	5575	8450
NO75	0454	9630
NO56	1679	5522
NO96	8769	1352
NO97	3087	1018
NO60	9147	4240
NO52	4216	7822
NO77	2247	6730
NO86	6087	9961
NO70	6705	3748
NO10	9403	1733
NO55	7525	8238
NO89	5027	4365
NO01	9189	9071
NO26	0869	0598
NO71	0023	1946
NO18	7152	9052
NO00	7140	1782
NO24	7055	2589
NO31	4566	6913
NO24	8928	8038
NO69	6255	3104
NO08	0116	5999
NO45	6968	9291
NO17	3852	5680
NO43	5027	4369
NO67	5013	5227
NO28	5322	6406
NO23	6570	7938
NO24	1499	6027
NO67	5760	6728
NO26	9588	4946
NO97	3991	2775
NO59	6844	0645
NO86	5926	1806
NO63	6672	5459
NO16	9014	7895
NO86	6643	9318
NO19	0259	8891
NO90	6398	3975
NO60	5070	4986
NO89	8870	0243
NO79	0416	5531
NO78	3087	2334
NO71	4155	2467
NO66	2764	1148
NO81	5227	0556
NO01	6243	2096
NO21	6675	6527
NO89	7603	2062
NO14	6768	1333
NO94	6329	0418
NO97	8113	0833
NO97	0502	8586
NO11	8953	9257
NO18	7883	8938
NO36	8103	8531
NO25	1584	6571
NO07	2281	4085
NO03	6765	7290
NO24	3349	8051
NO57	7304	7965
NO20	1902	9834
NO52	7688	7122
NO92	2399	4079
NO13	2306	3586
