NO55	4413	2002
NO43	7380	1240
NO58	5800	4619
NO48	4688	2902
NO94	0330	1092
NO29	1189	4350
NO99	3312	7780
NO59	3507	0640
NO58	3590	3894
NO45	8245	5879
NO58	3832	2214
NO32	2065	6501
NO58	6578	8574
NO36	4510	0333
NO08	6012	8972
NO64	8212	7807
NO54	4907	6002
NO37	5128	6855
NO54	3032	6584
NO48	3735	0833
NO34	5021	2121
NO53	1191	6412
NO53	9287	0742
NO56	6189	6694
NO20	2457	5891
NO95	2489	8475
NO30	8289	2704
NO92	0260	7041
NO33	7260	5729
NO96	4707	7555
NO17	3048	7273
NO86	9056	5000
NO14	0038	3078
NO01	0004	0738
NO33	0182	0702
NO83	4892	9382
NO82	1515	7332
NO02	2154	2564
NO50	8269	4014
NO35	4531	5797
NO92	6898	1435
NO89	0313	1186
NO29	5732	1763
NO97	3333	4846
NO57	8159	5107
NO16	9522	4268
NO76	2050	1794
NO92	0748	3670
NO39	3591	7795
NO36	8568	2316
NO78	6658	8805
NO21	7525	4445
NO94	5400	8194
NO61	6982	9394
NO13	3610	3760
NO05	6979	8397
NO77	2091	0626
NO07	8694	8702
NO91	0785	4009
NO82	6455	7028
NO38	4704	8708
NO07	0259	9989
NO95	8772	6121
NO38	4595	1863
NO16	6604	5006
NO23	0855	3163
NO57	4123	2424
NO01	2198	0381
NO69	1368	8976
NO11	8679	6432
NO94	5238	6573
NO41	2346	4908
NO87	7601	9662
NO85	2594	3219
NO86	9014	5243
NO35	8416	5147
NO59	0272	8448
NO16	3585	6713
NO44	8787	7488
NO88	9829	2364
NO81	9294	4573
NO57	3665	2016
NO32	1329	5839
NO98	1157	2125
NO48	6510	1197
NO91	4596	1692
NO32	3959	1990
NO90	8773	7763
NO22	4335	5173
NO38	9294	2900
NO56	8421	6275
NO55	3654	3098
NO09	2948	9861
NO95	7029	4627
NO48	9303	5160
NO41	5101	7268
NO72	9146	1109
NO34	8136	1263
NO76	8948	8933
NO23	5928	0293
NO16	0702	5814
NO48	6248	6991
NO16	2117	6653
NO15	5442	4704
NO99	6144	2236
NO17	3021	7062
NO74	5915	0969
NO10	3119	5945
NO68	3936	6337
NO31	8664	7135
NO01	5337	8258
NO20	8859	4975
NO34	0827	3852
NO25	1470	2092
NO04	5474	5475
NO82	6340	9789
NO99	8282	8440
NO71	8701	5159
NO39	6472	0851
NO25	2591	6068
NO45	8912	4873
NO94	5455	2315
NO62	3929	0568
NO78	4928	7103
NO63	3846	6784
NO64	6803	9832
NO44	4735	5696
NO70	0523	8668
NO42	9965	8088
NO38	9284	1594
NO84	4988	9202
NO40	0526	2395
NO15	8167	1585
NO46	7194	9389
NO99	3991	8153
NO43	7113	1582
NO73	3163	5904
NO56	6373	8600
NO26	1134	8569
NO93	6862	3652
NO48	3035	6994
NO09	0929	1258
NO54	5857	0867
NO24	3594	1931
NO36	3707	0717
NO40	8284	4509
NO78	3184	1516
NO10	2973	7448
NO37	7737	0334
NO50	5099	8670
NO13	5290	0130
NO32	3134	3949
NO36	9195	6921
NO80	7251	7646
NO10	7066	6262
NO57	7134	2095
NO83	9298	8322
NO47	5291	2577
NO02	9495	4638
NO64	6215	2138
NO55	4049	4978
NO55	2007	7417
NO31	5487	4970
NO46	0229	2891
NO70	1905	7037
NO21	9704	4901
NO31	5528	3967
NO12	5850	9281
NO12	6125	0583
NO76	2120	8147
NO16	2684	9368
NO85	6360	9432
NO54	5645	9327
NO71	3498	0424
